Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,Scaffold,DENV_Activity,DENV_Activity (raw),Stereo_Centers,Stereo_Centers (raw),QED,QED (raw),SA,SA (raw),MW,MW (raw),Heavy_Atoms,Heavy_Atoms (raw),LogP,LogP (raw),TPSA,TPSA (raw),HBA,HBA (raw),HBD,HBD (raw),Rotatable_Bonds,Rotatable_Bonds (raw),Ring_Count,Ring_Count (raw),Aromatic_Rings,Aromatic_Rings (raw),Stability_Alerts,Stability_Alerts (raw),Toxicity_Alerts,Toxicity_Alerts (raw),PAINS_Filter,PAINS_Filter (raw),Metabolic_Stability,Metabolic_Stability (raw),matchting_patterns (Stability_Alerts),matchting_patterns (Toxicity_Alerts),matchting_patterns (PAINS_Filter),matchting_patterns (Metabolic_Stability),step,IC50_nM
17.5685,25.2447,80.9954,0.7082676,CN(C)C(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1CNCCC1CC(=O)*|N(C)(C(=O)*)C,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccccc1,0.8834298,8.0105,1e-05,3.0,0.7126364,0.7126,0.1587846,3.6573,0.999633,462.594,0.9434421,34.0,0.9989778,3.505,0.9999996,81.75,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],232,9.761127824302118
15.8195,26.8123,79.2488,0.7070738,CC(=O)N1C(c2ccccc2)CC(C(=O)NCCC2CCNCC2)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,CC(*)=O|C1(CC*)CCNCC1,O=C(NCCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccncc1,0.879981,8.0266,1e-05,3.0,0.7524507,0.7525,0.2079306,3.5767,0.9999455,420.557,0.9653086,31.0,0.9997004,3.2383,1.0,74.33,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],317,9.405892264269934
15.3638,19.4574,86.6017,0.7070609,CN1C(c2ccco2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(c2ccco2)NC1c1ccccc1,0.8598536,8.1137,1e-05,3.0,0.8524785,0.8525,0.2275769,3.5485,0.9988461,367.493,0.9090909,27.0,0.9998185,3.1295,0.999974,57.51,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],678,7.696619203180875
12.4801,14.5058,91.4644,0.7064681,CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,C*|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccncc1,0.8500531,8.1523,1e-05,3.0,0.8399589,0.84,0.269927,3.4931,0.999388,378.52,0.9281377,28.0,0.999927,2.9315,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],137,7.042064523312061
14.5792,21.9217,84.0088,0.7062034,CC(=O)N1C(c2ccccc2)CC(C(=O)NCCC2CCNCC2)C1c1ccccn1,1,c1ccccc1C1N([*])C(c2ncccc2)C(C(=O)N[*])C1,CC(*)=O|C1CNCCC1CC*,O=C(NCCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccccn1,0.8816944,8.0186,1e-05,3.0,0.7524507,0.7525,0.1857256,3.6111,0.9999455,420.557,0.9653086,31.0,0.9997004,3.2383,1.0,74.33,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],168,9.580760857350214
12.853,34.9761,70.858,0.705561,O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1CNCC1*|C1(C*)CC1,O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccccc1,0.8782089,8.0348,0.0,4.0,0.7921711,0.7922,0.180365,3.6198,0.9996755,389.543,0.9434421,29.0,0.9977248,3.679,0.995989,44.37,0.97891,3.0,0.5,2.0,0.1279931,6.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],190,9.229963848404525
16.0691,13.4829,92.2936,0.7051769,CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,*C|C1NCCC(C*)C1,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccnc1,0.8456186,8.1691,1e-05,3.0,0.8399589,0.84,0.2788454,3.4821,0.999388,378.52,0.9281377,28.0,0.999927,2.9315,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1682,6.774854928498453
13.8936,23.8533,81.9169,0.7051346,CC(=O)N1C(c2cccnc2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C(C)(=O)*|C1C(C*)CCNC1,O=C(NCC1CCNCC1)C1CC(c2cccnc2)NC1c1ccccc1,0.8528799,8.1414,1e-05,3.0,0.8008049,0.8008,0.235671,3.5374,0.9998779,406.53,0.9556429,30.0,0.9999503,2.8482,1.0,74.33,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],323,7.221044144820441
13.6622,17.3032,88.3572,0.7044028,CC(=O)N1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,*C(=O)C|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccnc1,0.8517987,8.1456,1e-05,3.0,0.8008049,0.8008,0.2321327,3.5422,0.9998779,406.53,0.9556429,30.0,0.9999503,2.8482,1.0,74.33,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1148,7.15154704659282
16.865,25.9699,79.647,0.7041124,CC(=O)N1C(c2ccccc2)CC(C(=O)NCCC2CCNCC2)C1c1cccs1,1,c1ccccc1C1N([*])C(c2sccc2)C(C(=O)N[*])C1,*C(=O)C|C1CNCCC1CC*,O=C(NCCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccs1,0.880546,8.024,1e-05,3.0,0.7377942,0.7378,0.1841532,3.6136,0.9999564,425.598,0.9556429,30.0,0.9935908,3.9048,0.9999943,61.44,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],953,9.462371613657949
16.1921,28.6618,76.7918,0.7030241,CCNC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,C1CC(CC(*)=O)CCN1|C(C)*,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccncc1,0.8739579,8.0539,1e-05,3.0,0.7524507,0.7525,0.1885882,3.6065,0.9999455,420.557,0.9653086,31.0,0.9997004,3.2383,1.0,74.33,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],308,8.832832604918195
12.546,25.2705,80.1087,0.7025281,CCCNC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccccn1,1,c1ccccc1C1N([*])C(c2ncccc2)C(C(=O)N[*])C1,C1C(C*)CCNC1|C(C)C*,c1ccc(C2CCC(c3ccccn3)N2CC2CCNCC2)cc1,0.8809081,8.0223,1e-05,3.0,0.7359637,0.736,0.1947039,3.5968,0.9998782,406.574,0.9556429,30.0,0.9973561,3.7117,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.0392398,7.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],317,9.499483658763474
14.6548,24.0206,81.3499,0.7024703,CC(=O)N1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccs1,1,c1ccccc1C1N([*])C(c2sccc2)C(C(=O)N[*])C1,CC(*)=O|C1C(C*)CCNC1,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccs1,0.855801,8.1299,1e-05,3.0,0.7914614,0.7915,0.1975929,3.5924,0.9999087,411.571,0.9434421,29.0,0.9989311,3.5147,0.9999943,61.44,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],311,7.414809539452744
15.6924,30.1635,75.1932,0.7023781,O=C(NC1CC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccccn1,1,c1ccccc1C1N([*])C(c2ncccc2)C(C(=O)N[*])C1,C1CNCCC1C*|C1CC1*,O=C(NC1CC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccccn1,0.8821986,8.0163,1e-05,3.0,0.7741679,0.7742,0.1753541,3.6282,0.9998633,404.558,0.9556429,30.0,0.9991531,3.4641,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],632,9.63163464023982
13.7679,22.5552,82.7085,0.7017579,CCCNC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,C1(C*)CCNCC1|CCC*,c1ccc(C2CCC(c3cccnc3)N2CC2CCNCC2)cc1,0.8768913,8.0408,1e-05,3.0,0.7359637,0.736,0.2082525,3.5762,0.9998782,406.574,0.9556429,30.0,0.9973561,3.7117,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.0392398,7.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],198,9.103323996799078
12.672,25.5432,79.6946,0.7015849,CCNC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,C1CNCCC1C*|*CC,c1ccc(C2CCC(c3ccncc3)N2CC2CCNCC2)cc1,0.8697287,8.0724,1e-05,3.0,0.7918288,0.7918,0.1884273,3.6067,0.999727,392.547,0.9434421,29.0,0.9995605,3.3216,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],153,8.464474480977
10.7534,24.496,80.7343,0.7015357,CCNC(=O)C1CC(c2cccs2)N(C(=O)CC2CCNCC2)C1c1ccccc1,1,c1ccsc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1CNCCC1CC(=O)*|CC*,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1cccs1,0.8761142,8.0443,1e-05,3.0,0.7377942,0.7378,0.1754435,3.628,0.9999564,425.598,0.9556429,30.0,0.9935908,3.9048,0.9999943,61.44,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],188,9.030254703280065
16.6521,24.0857,80.9202,0.7000398,O=CNC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccccc1,1,c1ccccc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1CNCCC1CC(=O)*|O=C*,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccccc1,0.8791853,8.0303,1e-05,3.0,0.7059186,0.7059,0.1441366,3.6852,0.9999422,419.525,0.9653086,31.0,0.9999089,2.9798,0.9999999,78.51,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],198,9.326098541742976
13.7075,27.5728,77.4073,0.6998676,O=C(NC1CCC1)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C1C(C*)CCNC1|C1C(*)CC1,O=C(NC1CCC1)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccccc1,0.8767844,8.0412,1e-05,3.0,0.7481088,0.7481,0.1838148,3.6142,0.999939,418.585,0.9653086,31.0,0.9949162,3.8542,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],348,9.094943385552956
15.5469,27.8132,77.1075,0.6994711,CCCNC(=O)C1CC(c2ccccc2)N(CC2CCNC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,C1NCCC1C*|CCC*,c1ccc(C2CCC(c3cccnc3)N2CC2CCNC2)cc1,0.8853078,8.0015,0.0,4.0,0.7589579,0.759,0.1212288,3.7339,0.999727,392.547,0.9434421,29.0,0.9995605,3.3216,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.0392398,7.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],260,9.965520801347681
12.164,27.2924,77.584,0.6991763,O=C(NC1CCC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,C1CNCCC1C*|C1CCC1*,O=C(NC1CCC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccnc1,0.8756752,8.0462,1e-05,3.0,0.7481088,0.7481,0.1809993,3.6188,0.999939,418.585,0.9653086,31.0,0.9949162,3.8542,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],157,8.990834429518015
14.0888,23.9989,80.7832,0.6985479,CN1C(c2cccnc2)CC(C(=O)NCC2CCCNCC2)C1c1ccccc1,1,c1ccncc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,C*|C1(C*)CCNCCC1,O=C(NCC1CCCNCC1)C1CC(c2cccnc2)NC1c1ccccc1,0.8468639,8.1644,0.0,4.0,0.8195956,0.8196,0.1804232,3.6197,0.999727,392.547,0.9434421,29.0,0.9995605,3.3216,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],2080,6.848571591258548
16.3325,24.9682,79.7465,0.698098,CC(C)N1C(c2ccco2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,1,c1ccoc1C1N([*])C(c2ccccc2)C(C(=O)N[*])C1,*C(C)C|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(c2ccco2)NC1c1ccccc1,0.8695643,8.0731,1e-05,3.0,0.778666,0.7787,0.1531368,3.6678,0.9997702,395.547,0.9434421,29.0,0.9934933,3.9081,0.999974,57.51,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],565,8.450842349196524
13.5548,21.5636,83.1115,0.6978337,CN1C(c2ccccc2)CC(C(=O)NCC2CCCNCC2)C1c1cccnc1,1,c1ccccc1C1N([*])C(c2cccnc2)C(C(=O)N[*])C1,C*|C1(C*)CCNCCC1,O=C(NCC1CCCNCC1)C1CC(c2ccccc2)NC1c1cccnc1,0.8457282,8.1687,0.0,4.0,0.8195956,0.8196,0.1774538,3.6247,0.999727,392.547,0.9434421,29.0,0.9995605,3.3216,0.9999714,57.26,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],2080,6.781097674934354
15.8917,22.5435,82.0417,0.697235,CCN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccco1,1,c1ccccc1C1N([*])C(c2ccco2)C(C(=O)N[*])C1,*CC|C1CNCCC1C*,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccco1,0.8633766,8.0992,1e-05,3.0,0.8038519,0.8039,0.1726077,3.6329,0.999485,381.52,0.9281377,28.0,0.9989067,3.5196,0.999974,57.51,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1167,7.957927898970927
19.0454,38.4154,66.1549,0.697135,O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(C(=O)N2CC2)C1c1ccco1,1,c1ccccc1C1N([*])C(c2ccco2)C(C(=O)N[*])C1,*C(=O)N1CC1|C1(C*)CCNCC1,O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(C(=O)N2CC2)C1c1ccco1,0.8644938,8.0946,1e-05,3.0,0.7266411,0.7266,0.1430362,3.6874,0.9999514,422.529,0.9653086,31.0,0.9999258,2.9353,0.9999999,77.59,0.8720069,4.0,0.5,2.0,0.3453354,5.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],767,8.042665380156771
14.3166,16.6795,87.7617,0.6962746,CN1C(c2ccccc2)CC(C(=O)NC(=O)CC2CCNCC2)C1c1ccncc1,1,c1ccccc1C1N([*])C(c2ccncc2)C(C(=O)N[*])C1,C*|C1CNCCC1CC(*)=O,O=C(CC1CCNCC1)NC(=O)C1CC(c2ccccc2)NC1c1ccncc1,0.8795518,8.0286,1e-05,3.0,0.7987694,0.7988,0.1786833,3.6226,0.9998779,406.53,0.9556429,30.0,0.9999503,2.8482,1.0,74.33,0.5,5.0,0.5,2.0,0.3453354,5.0,0.1279931,4.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],547,9.362676114879099
16.0579,29.7794,74.6149,0.6959617,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)C2CC2)C1c1cccs1,1,c1ccccc1C1N([*])C(c2cccs2)C(C(=O)N[*])C1,C1CC1C(=O)*|C1NCCC1C*,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)C2CC2)C1c1cccs1,0.8833049,8.0111,0.0,4.0,0.7474392,0.7474,0.0968946,3.7953,0.9999542,423.582,0.9556429,30.0,0.9989311,3.5147,0.9999943,61.44,0.8720069,4.0,0.5,2.0,0.1279931,6.0,0.0031523,5.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[],[],[],[],1008,9.747651639013169
