SMILES,MW,LogP,TPSA,HBA,HBD,RotBonds,AromaticRings,HeavyAtoms,FractionCsp3,NumRings,NumAliphaticRings,pIC50,QED,SA,TotalScore,Scaffold,HasNitro,HasAzo,HasHalogenatedCarbon,HasQuinone,HasMichaelAcceptor,HasPeroxide,HasAcylChloride,HasSulfonylChloride,ToxicityRiskScore
CN1C(c2ccco2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,367.4930000000001,3.129500000000002,57.510000000000005,4,2,5,2,27,0.5,4,2,8.1137,0.8525,3.5485,0.7070609,O=C(NCC1CCNCC1)C1CC(c2ccco2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccncc1,378.52000000000004,2.9315000000000015,57.260000000000005,4,2,5,2,28,0.4782608695652174,4,2,8.1523,0.84,3.4931,0.7064681,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NCCC2CCNCC2)C1c1ccccn1,420.5570000000002,3.2383000000000015,74.33000000000001,4,2,6,2,31,0.48,4,2,8.0186,0.7525,3.6111,0.7062034,O=C(NCCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccccn1,False,False,False,False,False,False,False,False,0
O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccccc1,389.5430000000002,3.679000000000002,44.370000000000005,3,2,6,2,29,0.48,5,3,8.0348,0.7922,3.6198,0.705561,O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccnc1,378.52000000000004,2.9315000000000015,57.260000000000005,4,2,5,2,28,0.4782608695652174,4,2,8.1691,0.84,3.4821,0.7051769,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccnc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2cccnc2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,406.53000000000014,2.8482000000000003,74.33,4,2,5,2,30,0.4583333333333333,4,2,8.1414,0.8008,3.5374,0.7051346,O=C(NCC1CCNCC1)C1CC(c2cccnc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccnc1,406.5300000000002,2.848200000000001,74.33000000000001,4,2,5,2,30,0.4583333333333333,4,2,8.1456,0.8008,3.5422,0.7044028,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccnc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NCCC2CCNCC2)C1c1cccs1,425.5980000000002,3.9048000000000025,61.440000000000005,4,2,6,2,30,0.5,4,2,8.024,0.7378,3.6136,0.7041124,O=C(NCCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccs1,False,False,False,False,False,False,False,False,0
CCNC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccncc1,420.5570000000002,3.2383000000000015,74.33000000000001,4,2,6,2,31,0.48,4,2,8.0539,0.7525,3.6065,0.7030241,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccncc1,False,False,False,False,False,False,False,False,0
CCCNC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccccn1,406.5740000000002,3.711700000000002,57.260000000000005,4,2,7,2,30,0.52,4,2,8.0223,0.736,3.5968,0.7025281,c1ccc(C2CCC(c3ccccn3)N2CC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccs1,411.5710000000002,3.514700000000002,61.440000000000005,4,2,5,2,29,0.4782608695652174,4,2,8.1299,0.7915,3.5924,0.7024703,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccs1,False,False,False,False,False,False,False,False,0
O=C(NC1CC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccccn1,404.5580000000002,3.464100000000002,57.260000000000005,4,2,6,2,30,0.52,5,3,8.0163,0.7742,3.6282,0.7023781,O=C(NC1CC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccccn1,False,False,False,False,False,False,False,False,0
CCCNC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccnc1,406.5740000000002,3.711700000000002,57.260000000000005,4,2,7,2,30,0.52,4,2,8.0408,0.736,3.5762,0.7017579,c1ccc(C2CCC(c3cccnc3)N2CC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
CCNC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccncc1,392.54700000000014,3.321600000000002,57.260000000000005,4,2,6,2,29,0.5,4,2,8.0724,0.7918,3.6067,0.7015849,c1ccc(C2CCC(c3ccncc3)N2CC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
CCNC(=O)C1CC(c2cccs2)N(C(=O)CC2CCNCC2)C1c1ccccc1,425.5980000000002,3.9048000000000025,61.440000000000005,4,2,6,2,30,0.5,4,2,8.0443,0.7378,3.628,0.7015357,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1cccs1,False,False,False,False,False,False,False,False,0
O=CNC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccccc1,419.5250000000002,2.979800000000001,78.51,4,2,6,2,31,0.4,4,2,8.0303,0.7059,3.6852,0.7000398,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccccc1,False,False,False,False,False,False,False,False,0
O=C(NC1CCC1)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccccc1,418.58500000000026,3.8542000000000023,57.260000000000005,4,2,6,2,31,0.5384615384615384,5,3,8.0412,0.7481,3.6142,0.6998676,O=C(NC1CCC1)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CCCNC(=O)C1CC(c2ccccc2)N(CC2CCNC2)C1c1cccnc1,392.54700000000014,3.321600000000002,57.260000000000005,4,2,7,2,29,0.5,4,2,8.0015,0.759,3.7339,0.6994711,c1ccc(C2CCC(c3cccnc3)N2CC2CCNC2)cc1,False,False,False,False,False,False,False,False,0
O=C(NC1CCC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccnc1,418.58500000000026,3.8542000000000023,57.260000000000005,4,2,6,2,31,0.5384615384615384,5,3,8.0462,0.7481,3.6188,0.6991763,O=C(NC1CCC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccnc1,False,False,False,False,False,False,False,False,0
CC(C)N1C(c2ccco2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,395.5470000000001,3.908100000000003,57.510000000000005,4,2,6,2,29,0.5416666666666666,4,2,8.0731,0.7787,3.6678,0.698098,O=C(NCC1CCNCC1)C1CC(c2ccco2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CCN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccco1,381.52000000000015,3.5196000000000023,57.510000000000005,4,2,6,2,28,0.5217391304347826,4,2,8.0992,0.8039,3.6329,0.697235,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccco1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(C(=O)N2CC2)C1c1ccco1,422.5290000000002,2.9353000000000007,77.59,4,2,5,2,31,0.5,5,3,8.0946,0.7266,3.6874,0.697135,O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(C(=O)N2CC2)C1c1ccco1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NC(=O)CC2CCNCC2)C1c1ccncc1,406.53000000000014,2.8482000000000003,74.33000000000001,5,2,5,2,30,0.4583333333333333,4,2,8.0286,0.7988,3.6226,0.6962746,O=C(CC1CCNCC1)NC(=O)C1CC(c2ccccc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)C2CC2)C1c1cccs1,423.5820000000002,3.514700000000002,61.440000000000005,4,2,6,2,30,0.5,5,3,8.0111,0.7474,3.7953,0.6959617,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)C2CC2)C1c1cccs1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNC1)C1CC(c2cccnc2)N(C2CCC2)C1c1ccccc1,404.5580000000002,3.464100000000001,57.260000000000005,4,2,6,2,30,0.52,5,3,8.0355,0.7742,3.7595,0.6958237,O=C(NCC1CCNC1)C1CC(c2cccnc2)N(C2CCC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CCN1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1ccccn1,392.54700000000014,3.321600000000002,57.260000000000005,4,2,6,2,29,0.5,4,2,8.1289,0.7918,3.6038,0.6957339,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1ccccn1,False,False,False,False,False,False,False,False,0
CN1C(c2cccnc2)CC(C(=O)NC(=O)CC2CCNCC2)C1c1ccccc1,406.53000000000014,2.8482000000000003,74.33,5,2,5,2,30,0.4583333333333333,4,2,8.0442,0.7988,3.6075,0.6954555,O=C(CC1CCNCC1)NC(=O)C1CC(c2cccnc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)C2CCCC2)C1c1ccncc1,446.5950000000003,3.628400000000002,74.33000000000001,4,2,6,2,33,0.5185185185185185,5,3,8.0074,0.7107,3.7708,0.6953148,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C(=O)C2CCCC2)C1c1ccncc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccncc1,390.5310000000002,3.0740000000000016,57.260000000000005,4,2,6,2,29,0.5,5,3,8.038,0.7959,3.7896,0.6950016,O=C(NCC1CC1)C1CC(c2ccccc2)N(C2CCNC2)C1c1ccncc1,False,False,False,False,False,False,False,False,0
CCN1C(c2cccnc2)CC(C(=O)NCC2CCNCC2)C1c1ccccc1,392.54700000000014,3.321600000000002,57.260000000000005,4,2,6,2,29,0.5,4,2,8.1511,0.7918,3.5776,0.6944906,O=C(NCC1CCNCC1)C1CC(c2cccnc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CCCN1C(c2cccnc2)CC(C(=O)NCCC2CCNC2)C1c1ccccc1,406.57400000000007,3.711700000000002,57.260000000000005,4,2,8,2,30,0.52,4,2,8.0158,0.7017,3.767,0.6944576,O=C(NCCC1CCNC1)C1CC(c2cccnc2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C2CCCC2)C1c1ccncc1,418.58500000000026,3.8542000000000023,57.260000000000005,4,2,6,2,31,0.5384615384615384,5,3,8.0378,0.7481,3.7762,0.694369,O=C(NCC1CCNC1)C1CC(c2ccccc2)N(C2CCCC2)C1c1ccncc1,False,False,False,False,False,False,False,False,0
O=C(NCCC1CCNC1)C1CC(c2cccnc2)N(C2CC2)C1c1ccccc1,404.55800000000016,3.464100000000001,57.260000000000005,4,2,7,2,30,0.52,5,3,8.0095,0.742,3.7644,0.6941282,O=C(NCCC1CCNC1)C1CC(c2cccnc2)N(C2CC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CC1)C1CC(c2ccccc2)N(C(=O)C2CCNCC2)C1c1cccnc1,432.56800000000027,3.2383000000000015,74.33000000000001,4,2,6,2,32,0.5,5,3,8.1028,0.735,3.6059,0.693624,O=C(NCC1CC1)C1CC(c2ccccc2)N(C(=O)C2CCNCC2)C1c1cccnc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNCC1)C1CC(c2ccco2)N(C(=O)C2CC2)C1c1ccccc1,421.54100000000017,3.436300000000002,74.58000000000001,4,2,6,2,31,0.52,5,3,8.0996,0.7494,3.6364,0.693232,O=C(NCC1CCNCC1)C1CC(c2ccco2)N(C(=O)C2CC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CCNC(=O)C1CC(c2ccccc2)N(C2CCCN(C3CCNC3)C2)C1c1ccccc1,446.63900000000024,3.753300000000002,47.61000000000001,4,2,6,2,33,0.5357142857142857,5,3,8.0019,0.7095,3.882,0.6930387,c1ccc(C2CCC(c3ccccc3)N2C2CCCN(C3CCNC3)C2)cc1,False,False,False,False,False,False,False,False,0
CN1C(c2cccs2)CC(C(=O)NC(=O)CC2CCNCC2)C1c1ccccc1,411.57100000000014,3.514700000000002,61.440000000000005,5,2,5,2,29,0.4782608695652174,4,2,8.0379,0.7904,3.6595,0.6927288,O=C(CC1CCNCC1)NC(=O)C1CC(c2cccs2)NC1c1ccccc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccccc1,406.5300000000002,2.848200000000001,74.33,5,2,5,2,30,0.4583333333333333,4,2,8.0366,0.7988,3.6927,0.6927144,c1ccc(C2CCC(c3cccnc3)N2CC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2cccnc2)N(C(=O)CC2CCNCC2)C1c1ccccc1,434.54000000000025,2.764900000000001,91.4,5,2,5,2,32,0.44,4,2,8.0245,0.7552,3.6912,0.6925774,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1cccnc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1cccnc1,434.54000000000025,2.7649000000000017,91.4,5,2,5,2,32,0.44,4,2,8.0279,0.7552,3.6958,0.692096,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1cccnc1,False,False,False,False,False,False,False,False,0
CCC(=O)N1C(c2ccccc2)CC(C(=O)NCC2CCNCC2)C1c1cccs1,425.5980000000002,3.9048000000000025,61.440000000000005,4,2,6,2,30,0.5,4,2,8.1358,0.7378,3.6292,0.691934,O=C(NCC1CCNCC1)C1CC(c2ccccc2)NC1c1cccs1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1cccs1,439.58100000000024,3.431400000000002,78.51,5,2,5,2,31,0.4583333333333333,4,2,8.0203,0.7482,3.7439,0.6908766,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1cccs1,False,False,False,False,False,False,False,False,0
CCNC(=O)C1CC(c2cccnc2)N(C2CCNCC2)C1c1ccncc1,379.5080000000001,2.4690000000000003,70.15,5,2,5,2,28,0.5,4,2,8.0451,0.8352,3.735,0.6904123,c1cncc(C2CCC(c3ccncc3)N2C2CCNCC2)c1,False,False,False,False,False,False,False,False,0
CN1C(c2cccnc2)CC(C(=O)NCC2CCNC2)C1c1ccncc1,365.481,1.9363999999999992,70.15,5,2,5,2,27,0.47619047619047616,4,2,8.0264,0.8474,3.8208,0.6891439,O=C(NCC1CCNC1)C1CC(c2cccnc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(CC2CCCNCC2)C1c1ccccn1,420.55700000000024,3.2383000000000024,74.33000000000001,5,2,5,2,31,0.48,4,2,8.0228,0.7769,3.8567,0.6889981,c1ccc(C2CCC(c3ccccn3)N2CC2CCCNCC2)cc1,False,False,False,False,False,False,False,False,0
CN1C(c2ccccc2)CC(C(=O)NC(=O)CCC2CCNCC2)C1c1ccncc1,420.55700000000013,3.2383000000000015,74.33000000000001,5,2,6,2,31,0.48,4,2,8.0275,0.7505,3.621,0.6885545,O=C(CCC1CCNCC1)NC(=O)C1CC(c2ccccc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
O=CN1C(c2ccccc2)CC(C(=O)NCC2CCCNCC2)C1c1ccncc1,406.53000000000014,2.8482000000000003,74.33000000000001,4,2,6,2,30,0.4583333333333333,4,2,8.1047,0.7237,3.8648,0.6876771,O=C(NCC1CCCNCC1)C1CC(c2ccccc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNCC1)C1CC(c2cccnc2)N(C2CC2)C1c1ccccc1,404.55800000000016,3.464100000000001,57.260000000000005,4,2,6,2,30,0.52,5,3,8.1781,0.7742,3.5903,0.687015,O=C(NCC1CCNCC1)C1CC(c2cccnc2)N(C2CC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2cccnc2)N(C(=O)CC2CCCNCC2)C1c1ccccc1,448.5670000000003,3.155000000000002,91.4,5,2,5,2,33,0.46153846153846156,4,2,8.025,0.7333,3.8343,0.6868081,O=C(CC1CCCNCC1)N1C(c2ccccc2)CCC1c1cccnc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CC1)C1CC(c2ccccc2)N(CC2CCNC2)C1c1ccccn1,404.55800000000016,3.321600000000002,57.260000000000005,4,2,7,2,30,0.52,5,3,8.074,0.7433,3.8163,0.6865665,O=C(NCC1CC1)C1CC(c2ccccc2)N(CC2CCNC2)C1c1ccccn1,False,False,False,False,False,False,False,False,0
CN(C)C(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CC2CCNCC2)C1c1ccncc1,463.5820000000003,2.9000000000000012,94.64,5,2,5,2,34,0.46153846153846156,4,2,8.0216,0.7111,3.8061,0.6861208,O=C(CC1CCNCC1)N1C(c2ccccc2)CCC1c1ccncc1,False,False,False,False,False,False,False,False,0
O=CN1C(c2ccccc2)CC(C(=O)NCC2CCCNCC2)C1c1cccnc1,406.53000000000014,2.848200000000001,74.33000000000001,4,2,6,2,30,0.4583333333333333,4,2,8.1213,0.7237,3.8546,0.6861029,O=C(NCC1CCCNCC1)C1CC(c2ccccc2)NC1c1cccnc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(CC2CCCNCC2)C1c1cccs1,425.59800000000024,3.9048000000000034,61.440000000000005,5,2,5,2,30,0.5,4,2,8.0388,0.7626,3.8631,0.6858884,c1ccc(C2CCC(c3cccs3)N2CC2CCCNCC2)cc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(CCC2CCNCC2)C1c1ccccn1,420.5570000000002,3.2383000000000024,74.33000000000001,5,2,6,2,31,0.48,4,2,8.0172,0.7505,3.7463,0.6848655,c1ccc(C2CCC(c3ccccn3)N2CCC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
CC1CCCN1C(=O)NC(=O)C1CC(c2cccnc2)N(C2CCNCC2)C1c1ccccc1,461.61000000000024,3.658400000000002,77.57000000000001,5,2,4,2,34,0.5185185185185185,5,3,8.0699,0.7267,3.9445,0.6846173,O=C(NC(=O)N1CCCC1)C1CC(c2cccnc2)N(C2CCNCC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
CN1C(c2cccnc2)CC(C(=O)NCCC2CCNC2)C1c1ccncc1,379.50800000000004,2.3264999999999993,70.15,5,2,6,2,28,0.5,4,2,8.0003,0.8061,3.83,0.6844033,O=C(NCCC1CCNC1)C1CC(c2cccnc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(CCC2CCNCC2)C1c1cccnc1,420.5570000000002,3.2383000000000024,74.33000000000001,5,2,6,2,31,0.48,4,2,8.0339,0.7505,3.7262,0.6839236,c1ccc(C2CCC(c3cccnc3)N2CCC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
CCC(=O)NC(=O)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1cccs1,425.5980000000002,3.9048000000000025,61.440000000000005,5,2,6,2,30,0.5,4,2,8.0175,0.7368,3.7354,0.6837466,c1ccc(C2CCC(c3cccs3)N2CC2CCNCC2)cc1,False,False,False,False,False,False,False,False,0
O=C(NC(=O)N1CCCC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccncc1,461.6100000000003,3.517500000000002,77.57000000000001,5,2,5,2,34,0.5185185185185185,5,3,8.0258,0.7125,3.7496,0.6836621,O=C(NC(=O)N1CCCC1)C1CC(c2ccccc2)N(CC2CCNCC2)C1c1ccncc1,False,False,False,False,False,False,False,False,0
O=C(NC(=O)N1CCC1)C1CC(c2cccs2)N(CC2CCNCC2)C1c1ccccc1,452.6240000000003,3.7939000000000025,64.68,5,2,5,2,32,0.52,5,3,8.038,0.7245,3.7735,0.6834904,O=C(NC(=O)N1CCC1)C1CC(c2cccs2)N(CC2CCNCC2)C1c1ccccc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(CC2CC2)C1c1cccnc1,418.5850000000002,3.711700000000002,57.260000000000005,4,2,7,2,31,0.5384615384615384,5,3,8.1519,0.7197,3.6391,0.6833941,O=C(NCC1CCNCC1)C1CC(c2ccccc2)N(CC2CC2)C1c1cccnc1,False,False,False,False,False,False,False,False,0
CN1CCCC(NC(=O)C2CC(c3ccccc3)N(C3CCNCC3)C2c2cccnc2)CC1,461.65400000000034,3.538400000000002,60.50000000000001,5,2,5,2,34,0.5714285714285714,5,3,8.0125,0.7133,3.8197,0.6830352,O=C(NC1CCCNCC1)C1CC(c2ccccc2)N(C2CCNCC2)C1c1cccnc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2cccnc2)CC(C(=O)NCCC2CCNCC2)C1c1ccncc1,421.54500000000013,2.6333,87.22,5,2,6,2,31,0.5,4,2,8.0463,0.7488,3.7224,0.6827797,O=C(NCCC1CCNCC1)C1CC(c2cccnc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
CC(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CCC2CCNCC2)C1c1cccnc1,448.5670000000003,3.155000000000002,91.4,5,2,6,2,33,0.46153846153846156,4,2,8.0314,0.7084,3.6999,0.68264,O=C(CCC1CCNCC1)N1C(c2ccccc2)CCC1c1cccnc1,False,False,False,False,False,False,False,False,0
O=C(NCC1CCNC1)C1CC(c2cccnc2)N(C(=O)N2CCC2)C1c1ccncc1,434.54400000000027,2.132299999999999,90.46000000000001,5,2,5,2,32,0.5,5,3,8.0224,0.7525,3.9497,0.6826345,O=C(NCC1CCNC1)C1CC(c2cccnc2)N(C(=O)N2CCC2)C1c1ccncc1,False,False,False,False,False,False,False,False,0
O=C(CC1CC1)NC(=O)C1CC(c2ccccc2)N(C2CCNCC2)C1c1cccnc1,432.56800000000027,3.3808000000000016,74.33000000000001,5,2,6,2,32,0.5,5,3,8.0019,0.7321,3.7293,0.6823454,O=C(CC1CC1)NC(=O)C1CC(c2ccccc2)N(C2CCNCC2)C1c1cccnc1,False,False,False,False,False,False,False,False,0
O=C(NC1CC1)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccncc1,405.5460000000002,2.8591000000000006,70.15,5,2,6,2,30,0.5416666666666666,5,3,8.0241,0.7734,3.7668,0.6804095,O=C(NC1CC1)C1CC(c2cccnc2)N(CC2CCNCC2)C1c1ccncc1,False,False,False,False,False,False,False,False,0
CC(=O)N1C(c2cccnc2)CC(C(=O)NCC2CCNCC2)C1c1ccncc1,407.51800000000014,2.243199999999999,87.22,5,2,5,2,30,0.4782608695652174,4,2,8.1496,0.7938,3.7033,0.6802611,O=C(NCC1CCNCC1)C1CC(c2cccnc2)NC1c1ccncc1,False,False,False,False,False,False,False,False,0
