Alcohol,Amine,Amide,Ester,Ether,Ketone,Halogen,Aromatic_N,Sulfone,Nitro,SMILES
0,0,2,0,0,2,3,2,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2cc3n(n2)CCC3)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,3,0,1,1,0,0,1,0,COc1ccc(CNC(=O)N2C(c3cccc(C)c3)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)cc1
0,0,1,0,0,1,0,0,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C)c1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc(C)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,3,0,0,1,0,0,1,0,Cc1cccc(C2CC(C(=O)NC(N)=O)C(c3ccccc3)N2S(C)(=O)=O)c1
0,0,1,0,0,1,0,2,2,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2S(=O)(=O)c2ccn(C)n2)c1
0,0,1,0,0,1,0,2,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2Cc2nccn2C)c1
0,0,2,0,0,1,0,3,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C(=O)n2ccnn2)c1
0,0,1,0,0,1,0,2,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2c2ncccn2)c1
0,0,1,0,0,1,0,1,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2Cc2cncc(C#N)c2)c1
0,0,2,0,0,2,0,2,1,0,Cc1cccc(C2CC(C(=O)NS(C)(=O)=O)C(c3ccccc3)N2C(=O)c2cnc(C)cn2)c1
0,0,2,0,0,2,3,1,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(=O)c2cccnc2)C1c1ccccc1
0,0,2,0,0,2,3,0,1,0,CCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccccc1
0,0,2,0,0,2,3,0,1,0,CC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,3,0,1,0,CSCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,1,2,3,0,1,0,COCS(=O)(=O)NC(=O)C1CC(c2cccc(C(F)(F)F)c2)N(C(C)=O)C1c1ccccc1
0,0,2,0,0,2,3,0,1,0,CCC(=O)N1C(c2cccc(C(F)(F)F)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,3,1,1,0,Cc1cc(C(=O)N2C(c3cccc(C(F)(F)F)c3)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)no1
0,1,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc(N)c2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,1,1,1,0,1,1,0,CCOC(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(=O)(=O)c2cccnc2)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3cccc4ccccc34)N(C(=O)CCc3ccccc3)C2c2ccccc2)cc1
0,0,3,0,2,1,0,0,1,0,COCCN(CCOC)C(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,3,0,1,1,0,0,1,0,CCN1CC(CNC(=O)N2C(c3cccc4ccccc34)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)(OC)C1
0,0,1,0,1,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(CCCN2CCOCC2)C1c1ccccc1
0,0,1,0,0,1,0,0,1,0,CN1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,1,1,0,0,1,0,0,1,0,CN1C(c2cccc3ccccc23)CC(C(=O)NS(=O)(=O)c2ccccc2N)C1c1ccccc1
0,0,1,0,0,1,0,0,1,0,Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3cccc4ccccc34)N(C)C2c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,CCN1CCCC1C(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,1,0,0,1,1,0,1,0,O=C(NS(=O)(=O)c1ccc(Cl)cc1)C1CC(c2cccc3ccccc23)N(CC2CC2)C1c1ccccc1
0,1,2,0,1,2,0,0,1,0,C=COCC(C)(C)NCC(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,1,0,0,1,0,0,1,0,CCN1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,1,0,0,1,0,0,1,0,Cc1ccc(CN2C(c3cccc4ccccc34)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)cc1
0,0,1,0,1,1,0,0,1,0,COc1ccccc1CCCN1C(c2cccc3ccccc23)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,1,2,1,0,1,0,O=C(NS(=O)(=O)c1ccccc1)C1CC(c2cccc3ccccc23)N(C(=O)c2ccc(OCc3ccc(F)cc3)cc2)C1c1ccccc1
0,1,1,0,0,1,3,0,2,0,CNS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(S(=O)(=O)CC(F)(F)F)C1c1ccccc1
0,0,1,0,0,1,0,0,2,0,CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(S(C)(=O)=O)C1c1ccccc1
0,0,1,0,0,1,0,0,2,0,O=C(NS(=O)(=O)c1ccccc1)C1CC(c2cccc3ccccc23)N(S(=O)(=O)c2ccccc2)C1c1ccccc1
0,0,2,0,2,2,0,0,1,0,COc1ccc(COCC(=O)N2C(c3cccc4ccccc34)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)cc1
0,0,1,0,1,1,0,0,2,0,COc1ccc(S(=O)(=O)N2C(c3cccc4ccccc34)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)cc1
0,0,2,0,2,2,0,0,1,0,COc1cc(OCc2ccccc2)ccc1C(=O)N1C(c2cccc3ccccc23)CC(C(=O)NS(=O)(=O)c2ccc(C)cc2)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(C(=O)c2ccco2)C1c1ccccc1
0,0,2,0,0,2,1,0,1,0,CCS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(C(=O)c2cc(F)c(C#N)cc2C)C1c1ccccc1
0,0,1,0,0,1,0,0,1,0,Cc1cc(C)c(CN2C(c3cccc4ccccc34)CC(C(=O)NS(=O)(=O)c3ccccc3)C2c2ccccc2)c(C)c1
0,1,1,0,0,1,0,0,1,0,CN(C)c1ccc(CN2C(c3cccc4ccccc34)CC(C(=O)NS(=O)(=O)C3CCCNC3)C2c2ccccc2)cc1
0,0,2,0,1,2,0,0,1,0,COc1ccc(CC(=O)N2C(c3cccc4ccccc34)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)cc1
0,0,1,0,0,1,1,0,2,0,CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(S(=O)(=O)c2ccc(Cl)cc2)C1c1ccccc1
0,0,2,0,0,2,0,2,1,0,Cc1cc(C(=O)N2C(c3cccc4ccccc34)CC(C(=O)NS(C)(=O)=O)C2c2ccccc2)nn1C
0,0,1,0,0,1,0,4,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(Cc2nnn[nH]2)C1c1ccccc1
0,1,1,0,0,1,0,1,1,0,CS(=O)(=O)NC(=O)C1CC(c2cccc3ccccc23)N(Cc2ccnc(N)c2)C1c1ccccc1
0,1,2,0,0,2,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)CN)cc1
0,0,2,1,1,1,0,0,1,0,CC(C)(C)OC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(C(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2ccc(C)cc2)cc1
0,0,1,0,0,1,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C)cc1
0,0,1,0,0,1,0,0,1,0,CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,O=C(NS(=O)(=O)c1ccccc1)C1CC(c2ccccc2)N(C(=O)C2CC2)C1c1ccc(-c2ccccc2)cc1
0,0,1,0,0,1,0,0,1,0,CC(C)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,CCC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,CCCC(=O)N1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccccc2)C1c1ccc(C)cc1
0,0,2,0,0,2,0,0,1,0,CCCCC1C(C(=O)N2C(c3ccccc3)CC(C(=O)NS(=O)(=O)c3ccc(C)cc3)C2c2ccc(C)cc2)C1(C)C
0,0,2,0,1,2,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)COc2ccccc2)cc1
0,0,2,0,1,2,2,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)c2ccc(OC(F)F)cc2)cc1
0,0,1,0,0,1,0,0,1,0,CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,1,1,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C2CCNCC2)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,0,0,CCN1C(c2ccccc2)CC(C(=O)NC(=O)c2ccccc2)C1c1ccc(C)cc1
0,0,2,0,0,2,0,2,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)c2snnc2C)cc1
0,0,2,0,1,2,0,1,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)COc2cc(C)cnc2C)cc1
0,0,3,0,0,1,1,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)Nc2ccc(Cl)cc2)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(S(=O)(=O)NC(=O)C2CC(c3ccccc3)N(C(=O)CN(C)C)C2c2ccc(-c3ccccc3)cc2)cc1
0,0,1,0,2,1,0,0,1,0,COCCCN1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccc(OC)cc2)C1c1ccc(C)cc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)c2cc(C)cc(C)c2)cc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(C(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2ccc(-c3ccccc3)cc2)cc1
0,0,1,0,0,1,0,0,2,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2S(=O)(=O)c2ccc(C)cc2)cc1
0,0,1,0,0,1,0,2,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2nccn2Cc2ccccc2)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,0,0,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)c2ccccc2Sc2cccc(C#N)c2)cc1
0,1,4,0,0,2,0,0,0,0,Cc1ccc(C2C(C(=O)NC(N)=O)CC(c3ccccc3)N2C(=O)c2ccc3c(c2)CCCN3)cc1
0,0,1,0,0,1,0,0,1,0,Cc1ccc(CN2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2ccc(-c3ccccc3)cc2)cc1C
0,0,1,0,0,1,0,0,2,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2S(=O)(=O)c2cccc(C#N)c2)cc1
0,0,3,0,0,1,0,0,1,0,Cc1cccc(NC(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2ccc(-c3ccccc3)cc2)c1
0,0,1,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(C#N)c2ccccc2)C1c1ccc(-c2ccccc2)cc1
0,0,2,0,0,2,2,1,1,0,Cc1ccc(C2C(C(=O)NS(C)(=O)=O)CC(c3ccccc3)N2C(=O)c2c(Cl)cncc2Cl)cc1
1,0,3,0,0,1,0,0,0,0,CNC(=O)NC(=O)C1CC(c2ccccc2)N(CCO)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,1,0,2,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(CCOCCOc2ccc(C#N)cc2)C1c1cccc2ccccc12
0,0,3,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)Nc2ccccc2)C1c1cccc2ccccc12
0,2,3,0,0,3,0,0,1,0,CNCCCCC(=O)N1C(c2ccccc2)CC(C(=O)NC(=O)c2ccc(S(N)(=O)=O)cc2)C1c1cccc2ccccc12
0,0,2,0,1,2,0,0,1,0,C=CCOCC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,2,0,CN1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2ccc(S(=O)(=O)c3ccccc3)cc2)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,CN1CCC(N2C(c3ccccc3)CC(C(=O)NS(=O)(=O)c3cccs3)C2c2cccc3ccccc23)CC1
0,0,2,0,0,2,1,0,1,0,CC(Cl)CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,1,0,1,1,0,0,1,0,COCCN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,2,0,1,2,0,0,1,0,COCCN(C)CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,3,0,0,1,0,0,1,0,CN(C)C(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,4,1,1,1,0,0,0,0,Cc1cc(C)cc(NC(=O)NC(=O)C2CC(c3ccccc3)N(C(=O)OC(C)(C)C)C2c2cccc3ccccc23)c1
0,0,2,0,1,2,0,0,1,0,C#CCOCCc1cc(C(=O)N2C(c3ccccc3)CC(C(=O)NS(=O)(=O)CC)C2c2cccc3ccccc23)ccc1C
0,0,2,0,1,2,1,0,1,0,Cc1cc(OCC(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2cccc3ccccc23)cc(C)c1Cl
0,0,1,0,0,1,0,0,2,0,Cc1ccc(S(=O)(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2cccc3ccccc23)cc1
0,0,1,0,0,1,0,0,2,0,CCS(=O)(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,Cc1cc(C)c(CN2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2cccc3ccccc23)c(C)c1
0,0,1,0,0,1,2,0,1,0,Cc1ccc(F)c(CN2C(c3ccccc3)CC(C(=O)NS(=O)(=O)Cl)C2c2cccc3ccccc23)c1
0,0,2,0,1,2,0,1,1,0,CCOc1noc(C)c1CCC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1cccc2ccccc12
0,0,2,0,0,2,0,2,1,0,Cn1cnc(CCC(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2cccc3ccccc23)c1
0,0,1,0,1,1,0,4,1,0,COc1ccc(CN2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2cccc3ccccc23)c(-n2cnnn2)c1
0,0,2,0,2,2,0,2,1,0,CCS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)CCCCc2cnn(COCCOC)c2)C1c1cccc2ccccc12
0,1,1,0,0,1,0,0,1,0,CCNc1ccc(CN2C(c3ccccc3)CC(C(=O)NS(=O)(=O)c3cccc(C)c3)C2c2cccc3ccccc23)cc1
0,0,1,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2cccc(C#N)c2)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccc2ccccc12
0,0,2,0,1,2,0,0,1,0,CC(C)COc1cc(C=CC(=O)N2C(c3ccccc3)CC(C(=O)NS(C)(=O)=O)C2c2cccc3ccccc23)ccc1C#N
0,0,1,0,0,1,1,0,1,0,O=C(NS(=O)(=O)Cc1ccc(Cl)cc1)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccc2ccccc12
0,0,2,0,1,2,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)COc2ccccc2)C1c1cccc2ccccc12
0,0,1,0,0,1,0,0,1,0,O=C(NS(=O)(=O)c1ccccc1)C1CC(c2ccccc2)N(Cc2ccccc2)C1c1cccc2ccccc12
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CC(=O)N1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,2,0,0,2,0,0,1,1,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)c2ccc([N+](=O)[O-])cc2)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,O=C(NS(=O)(=O)c1ccccc1)C1CC(c2ccccc2)N(C(=O)c2ccccc2)C1c1ccccc1
0,0,1,0,0,1,0,0,1,1,CN1C(c2ccccc2)CC(C(=O)NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C1c1ccccc1
0,0,2,0,0,2,0,0,1,0,CS(=O)(=O)NC(=O)C1CC(c2ccccc2)N(C(=O)Cc2ccccc2)C1c1ccccc1
0,1,3,0,0,1,1,0,0,0,O=C(NC(=O)C1CC(c2ccccc2)N(CCCNCCCF)C1c1ccccc1)Nc1ccccc1
0,0,1,0,0,1,0,0,1,0,CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
0,0,1,0,0,1,0,0,1,0,CN1C(c2ccccc2)CC(C(=O)NS(C)(=O)=O)C1c1ccccc1
